Region,Date,Estimated Unemployment Rate,Area,Year
Chhattisgarh,2019-07-31,8.17,Urban,2019.0
Chhattisgarh,2019-08-31,6.29,Urban,2019.0
Chhattisgarh,2019-09-30,9.46,Urban,2019.0
Chhattisgarh,2019-10-31,10.27,Urban,2019.0
Chhattisgarh,2019-11-30,8.32,Urban,2019.0
Chhattisgarh,2019-12-31,3.57,Urban,2019.0
Chhattisgarh,2020-01-31,9.01,Urban,2020.0
Chhattisgarh,2020-02-29,9.79,Urban,2020.0
Chhattisgarh,2020-03-31,8.21,Urban,2020.0
Chhattisgarh,2020-04-30,20.13,Urban,2020.0
Chhattisgarh,2020-05-31,24.1,Urban,2020.0
Chhattisgarh,2020-06-30,27.07,Urban,2020.0
Delhi,2019-05-31,12.31,Urban,2019.0
Delhi,2019-06-30,12.76,Urban,2019.0
Delhi,2019-07-31,14.68,Urban,2019.0
Delhi,2019-08-31,13.52,Urban,2019.0
Delhi,2019-09-30,20.59,Urban,2019.0
Delhi,2019-10-31,12.41,Urban,2019.0
Delhi,2019-11-30,16.11,Urban,2019.0
Delhi,2019-12-31,11.07,Urban,2019.0
Delhi,2020-01-31,22.45,Urban,2020.0
Delhi,2020-02-29,14.86,Urban,2020.0
Delhi,2020-03-31,17.09,Urban,2020.0
Delhi,2020-04-30,16.51,Urban,2020.0
Delhi,2020-05-31,45.78,Urban,2020.0
Delhi,2020-06-30,18.11,Urban,2020.0
Goa,2019-05-31,2.75,Urban,2019.0
Goa,2019-06-30,13.33,Urban,2019.0
Goa,2019-07-31,12.28,Urban,2019.0
Goa,2019-08-31,4.9,Urban,2019.0
Goa,2019-09-30,3.16,Urban,2019.0
Goa,2019-10-31,12.31,Urban,2019.0
Goa,2019-11-30,25.2,Urban,2019.0
Goa,2019-12-31,16.22,Urban,2019.0
Goa,2020-01-31,10.92,Urban,2020.0
Goa,2020-02-29,4.31,Urban,2020.0
Goa,2020-03-31,4.76,Urban,2020.0
Goa,2020-04-30,11.76,Urban,2020.0
Gujarat,2019-05-31,4.09,Urban,2019.0
Gujarat,2019-06-30,6.31,Urban,2019.0
Gujarat,2019-07-31,5.15,Urban,2019.0
Gujarat,2019-08-31,4.2,Urban,2019.0
Gujarat,2019-09-30,5.96,Urban,2019.0
Gujarat,2019-10-31,5.45,Urban,2019.0
Gujarat,2019-11-30,7.53,Urban,2019.0
Gujarat,2019-12-31,5.71,Urban,2019.0
Gujarat,2020-01-31,5.82,Urban,2020.0
Gujarat,2020-02-29,6.04,Urban,2020.0
Gujarat,2020-03-31,5.39,Urban,2020.0
Gujarat,2020-04-30,25.94,Urban,2020.0
Gujarat,2020-05-31,11.62,Urban,2020.0
Gujarat,2020-06-30,4.54,Urban,2020.0
Haryana,2019-05-31,24.67,Urban,2019.0
Haryana,2019-06-30,20.42,Urban,2019.0
Haryana,2019-07-31,25.45,Urban,2019.0
Haryana,2019-08-31,24.19,Urban,2019.0
Haryana,2019-09-30,26.84,Urban,2019.0
Haryana,2019-10-31,21.04,Urban,2019.0
Haryana,2019-11-30,27.06,Urban,2019.0
Haryana,2019-12-31,23.65,Urban,2019.0
Haryana,2020-01-31,27.24,Urban,2020.0
Haryana,2020-02-29,23.29,Urban,2020.0
Haryana,2020-03-31,27.14,Urban,2020.0
Haryana,2020-04-30,46.89,Urban,2020.0
Haryana,2020-05-31,38.46,Urban,2020.0
Haryana,2020-06-30,29.41,Urban,2020.0
Himachal Pradesh,2019-05-31,10.88,Urban,2019.0
Himachal Pradesh,2019-06-30,21.43,Urban,2019.0
Himachal Pradesh,2019-07-31,21.51,Urban,2019.0
Himachal Pradesh,2019-08-31,24.48,Urban,2019.0
Himachal Pradesh,2019-09-30,12.0,Urban,2019.0
Himachal Pradesh,2019-10-31,23.77,Urban,2019.0
Himachal Pradesh,2019-11-30,27.27,Urban,2019.0
Himachal Pradesh,2019-12-31,25.32,Urban,2019.0
Himachal Pradesh,2020-01-31,18.15,Urban,2020.0
Himachal Pradesh,2020-02-29,27.31,Urban,2020.0
Himachal Pradesh,2020-03-31,26.44,Urban,2020.0
Himachal Pradesh,2020-04-30,2.7,Urban,2020.0
Himachal Pradesh,2020-05-31,50.0,Urban,2020.0
Himachal Pradesh,2020-06-30,10.81,Urban,2020.0
Jammu & Kashmir,2019-05-31,23.04,Urban,2019.0
